ADR_CP,ADR_VILLE,ADR_PAYS,ID_ANO
64000.0,PAU,FR,42507633
64000.0,PAU,FR,54344402
44000.0,NANTES,FR,16939319
44470.0,TOUARE-SUR-LOIRE,FR,23044498
,,FR,42532364
64000.0,PAU,FR,32627903
,,FR,30560587
,,FR,37445373
31780.0,CASTELGINEST,FR,87750073
92380.0,Garches,FR,36564577
38180.0,SEYSSINS,FR,38461934
95000.0,CERGY,FR,55466210
95800.0,CERGY LE HAUT,FR,95916603
95000.0,CERGY,FR,31532262
,,FR,17051795
87000.0,LIMOGES,FR,4195180
95000.0,CERGY,FR,76015864
95150.0,TAVERNY,FR,79830103
31400.0,TOULOUSE,FR,80333696
64140.0,LONS,FR,14393066
,,FR,97082410
91400.0,ORSAY,FR,52209274
78460.0,CHOISEL,FR,26697955
91250.0,ST GERMAIN-LES-CORBEIL,FR,78417027
64000.0,PAU,FR,22124254
,,FR,8853328
36120.0,ARDENTES,FR,38183552
1100.0,OYONNAX,FR,59661571
95110.0,SANNOIS,FR,33034454
40510.0,SEIGNOSSE,FR,65599863
95140.0,GARGES LES GONESSE,FR,83844223
60100.0,Creil,FR,67723111
95500.0,GONESSE,FR,17273735
64000.0,PAU,FR,6268290
95340.0,PERSAN,FR,80733109
75015.0,PARIS,FR,60242461
38000.0,GRENOBLE,FR,61373340
,,FR,93086872
93120.0,LA COURNEUVE,FR,22795658
64000.0,PAU,FR,5467422
,,FR,2919623
44000.0,NANTES,FR,45624987
92400.0,COURBEVOIE,FR,14355521
33000.0,BORDEAUX,FR,39975570
93120.0,LA COURNEUVE,FR,45115031
95800.0,Cergy St Christophe,FR,73641084
92120.0,MONTROUGE,FR,2831798
93340.0,LE RAINCY,FR,72376603
78600.0,MAISON LAFITTE,FR,52187655
64000.0,PAU,FR,66056626
78700.0,CONFLANS STE HONORINE,FR,5246371
,,FR,65501676
18700.0,AUBIGNY-SUR-NERE,FR,44619997
,,FR,38064101
,,FR,70568402
95000.0,CERGY,FR,64631886
95220.0,Herblay,FR,63197728
92400.0,COURBEVOIE,FR,55122870
,,FR,82706067
91120.0,PALAISEAU,FR,75566817
44800.0,SAINT-HERBLAIN,FR,98227765
76130.0,MONT SAINT-AIGNAN,FR,14404810
95800.0,CERGY,FR,5168483
95800.0,CERGY LE HAUT,FR,5023808
95800.0,CERGY LE HAUT,FR,42832865
93700.0,DRANCY,FR,19195044
92400.0,COURBEVOIE,FR,15708671
,,FR,57289943
94700.0,MAISON-ALFORT,FR,24619134
78230.0,LE PECQ,FR,39847452
,Casabanca,MA,9662601
95000.0,CERGY,FR,78935486
95000.0,CERGY,FR,25455090
94200.0,IVRY SUR SEINE,FR,94689217
95300.0,PONTOISE,FR,54368635
64000.0,PAU,FR,42197441
,Oran,DZ,25850358
,,FR,29529751
27180.0,LES BAUX STE CROIX,FR,50793629
77400.0,ST THIBAULT DES VIGNES,FR,74311907
13008.0,MARSEILLE,FR,74909953
,Fes,MA,43429922
6000.0,NICE,FR,25163247
57970.0,YUTZ,FR,77654450
,Choix,FR,3663965
,MEKNÉS,MA,54412625
95800.0,CERGY,FR,32354997
95200.0,SARCELLES,FR,80471462
95000.0,CERGY,FR,61391158
95000.0,CERGY,FR,63439177
95270.0,VIARMES,FR,35809278
78000.0,VERSAILLES,FR,59601105
95000.0,CERGY,FR,7491683
,,FR,27964140
93230.0,ROMAINVILLE,FR,10491229
,75015,FR,45752487
75012.0,PARIS,FR,64820029
95180.0,MENUCOURT,FR,30064192
,CHOIX,FR,97265512
,,FR,69734164
78450.0,VILLEPREUX,FR,13488535
,SAFI,MA,12494398
65350.0,LANSAC,FR,51312089
,,FR,77642744
78300.0,POISSY,FR,60745843
92400.0,COURBEVOIE,FR,59615005
95540.0,MERY SUR OISE,FR,7699117
,,FR,70470355
95000.0,CERGY,FR,67593852
40100.0,DAX,FR,21362031
95014.0,CERGY,FR,38943793
,,FR,38107682
78370.0,PLAISIR,FR,98552791
95160.0,MONTMORENCY,FR,7869314
20226.0,SPELONCATO,FR,53221268
93220.0,GAGNY,FR,1891730
95000.0,CERGY,FR,68817434
,TARRAGONE,ES,37523479
95180.0,MENUCOURT,FR,85495269
75011.0,Paris,FR,4224024
,,FR,82634219
,,FR,51517948
,,FR,16891049
64121.0,MONTARDON,FR,67811591
59960.0,NEUVILLE EN FERRAIN,FR,20153829
61200.0,ARGENTAN,FR,24687973
60110.0,AMBLAINVILLE,FR,90275118
95160.0,Montmorency,FR,24753408
,,FR,51634147
,,FR,11931605
,,FR,39338892
95000.0,CERGY,FR,42024148
75014.0,PARIS,FR,2105718
95000.0,CERGY,FR,51954651
60110.0,Méru,FR,35655796
59234.0,MONCHECOURT,FR,3044927
,,FR,32862362
,,FR,48124805
,,FR,71257815
31200.0,TOULOUSE,FR,75774655
,,FR,71298789
75011.0,PARIS 11EME ARRONDISSEME,FR,18579144
92600.0,ASNIERES SUR SEINE,FR,59943949
,,FR,71308490
65200.0,BAGNERES DE BIGORRE,FR,89030545
40360.0,Donzaq,FR,61492834
95000.0,CERGY,FR,76309116
75015.0,PARIS,FR,65487618
95000.0,CERGY,FR,95986497
66160.0,LE BOULOU,FR,49976510
95390.0,ST PRIX,FR,47454249
95490.0,VAURÉAL,FR,81582139
,,FR,14156561
,,FR,1844980
95470.0,SAINT WITZ,FR,81300125
60560.0,ORRY LA VILLE,FR,32648226
78700.0,CONFLANS SAINTE HONORINE,FR,76000061
64110.0,GELOS,FR,67917862
93400.0,SAINT OUEN,FR,85499250
45600.0,ST FLORENT,FR,11249152
78955.0,CARRIERES SOUS POISSY,FR,19630720
,,FR,9809247
,,FR,9618000
64000.0,PAU,FR,23467748
92600.0,ASNIERES SUR SEINE,FR,90898443
75019.0,PARIS,FR,73763477
78600.0,MAISONS LAFFITTE,FR,1597718
,,FR,40731675
92130.0,ISSY LES MOULINEAUX,FR,1346073
17410.0,ST MARTIN DE RE,FR,73149544
33110.0,LE BOUSCAT,FR,44592090
,,FR,8822268
,,FR,4074413
,Prague 4,CZ,64167972
95801.0,CERGY,FR,53942709
95300.0,PONTOISE,FR,40548493
95310.0,ST OUEN L'AUMONE,FR,78383882
31280.0,MONS,FR,8419932
89600.0,VERGIGNY,FR,33299209
95370.0,MONTIGNY LES CORMEILLES,FR,16140326
,,FR,74664482
78590.0,Noisy Le Roi,FR,37729367
78110.0,Le Vésinet,FR,6335547
95650.0,GENICOURT,FR,65790707
95680.0,MONTLIGNON,FR,13776584
,,FR,20639018
75011.0,PARIS,FR,74672373
95800.0,Cergy Le Haut,FR,78105778
75016.0,PARIS,FR,19872513
75018.0,PARIS,FR,21155046
78150.0,LE CHESNAY,FR,14294078
64000.0,PAU,FR,52493082
,,FR,57934051
,,FR,80875814
,,FR,99242403
95800.0,CERGY,FR,62197232
78530.0,BUC,FR,92342619
,,FR,61541666
,,FR,12040165
64110.0,MAZÈRES-LEZONS,FR,90376617
59263.0,HOUPLIN ANCOISNE,FR,34642378
,,FR,20901205
95000.0,CERGY,FR,74309885
95000.0,CERGY PONTOISE,FR,60909
95000.0,CERGY,FR,14144481
64000.0,PAU,FR,1396958
75006.0,PARIS,FR,22130632
,,FR,92540441
94200.0,IVRY SUR SEINE,FR,10264911
93420.0,VILLEPINTE,FR,14599334
95000.0,CERGY,FR,48788550
,,FR,50664543
92220.0,BAGNEUX,FR,5647229
95000.0,Cergy,FR,91834797
31100.0,TOULOUSE,FR,77039857
79160.0,COULONGES-SUR-L'AUTIZE,FR,33407303
,,FR,30448264
64420.0,SOUMOULOU,FR,84290372
75012.0,PARIS,FR,1573527
95000.0,Cergy,FR,10770957
78460.0,CHEVREUSE,FR,94918522
95420.0,MAGNY EN VEXIN,FR,15891795
93360.0,NEUILLY PLAISANCE,FR,93224756
75019.0,PARIS,FR,59280123
95011.0,CERGY,FR,54025358
,,FR,43834492
78500.0,SARTROUVILLE,FR,71019500
,,FR,96417031
,,FR,25709638
78420.0,CARRIÈRES SUR SEINE,FR,65982873
,,FR,30925110
,,FR,13026259
,,FR,29321136
,,FR,7609094
,,FR,16201234
38000.0,GRENOBLE,FR,88808962
94350.0,VILLIERS SUR MARNE,FR,39126324
92330.0,SCEAUX,FR,28466179
,,FR,58331148
95340.0,RONQUEROLLES,FR,24041494
95000.0,CERGY,FR,35238351
95000.0,NEUVILLE-SUR-OISE,FR,23460924
,,FR,28770321
,,FR,25519742
95160.0,MONTMORENCY,FR,12989843
95430.0,AUVERS SUR OISE,FR,91333934
95800.0,CERGY ST CHRISTOPHE,FR,85900384
,,FR,88382314
,,FR,65166186
45110.0,CHATEAUNEUF-SUR-LOIRE,FR,815930
95000.0,Cergy,FR,72968188
27400.0,HONDOUVILLE,FR,87261141
75002.0,PARIS,FR,77433460
75015.0,PARIS,FR,5264921
33700.0,MERIGNAC,FR,49656739
69003.0,LYON,FR,88667735
,,FR,64735697
,,FR,45329385
95300.0,PONTOISE,FR,96477939
,,FR,39854118
14000.0,CAEN,FR,67379830
95014.0,CERGY,FR,53055741
,Bruxelles,BE,5566701
,,FR,39586046
95800.0,CERGY,FR,22208427
95000.0,CERGY,FR,64989783
64110.0,JURANCON,FR,39473505
,,FR,44773552
78000.0,VERSAILLES,FR,20300975
,,FR,35371005
95000.0,Cergy,FR,57448796
30340.0,Mons,FR,65686613
78280.0,GUYANCOURT,FR,7751296
64400.0,LEDEUIX,FR,30343847
,,FR,36290698
,,FR,7908365
92110.0,CLICHY,FR,7225729
,,FR,79125139
91360.0,VILLEMOISSON SUR ORGE,FR,47662436
,,FR,19191545
,,FR,44650421
,,FR,43987688
95801.0,CERGY,FR,83678172
95430.0,AUVERS SUR OISE,FR,3143098
64000.0,PAU,FR,71247793
64000.0,PAU,FR,80581848
51390.0,JOUY-LES-REIMS,FR,1693994
95550.0,BESSANCOURT,FR,94056831
,,FR,52938478
,,FR,12679173
33000.0,BORDEAUX,FR,28663080
95800.0,CERGY,FR,6506153
,,FR,81521919
95620.0,PARMAIN,FR,63897848
,,FR,63627538
78500.0,SARTROUVILLE,FR,57446777
78950.0,GAMBAIS,FR,88450706
64121.0,MONTARDON,FR,68243825
,,FR,70293293
,,FR,33290817
95000.0,CERGY,FR,26704940
,,FR,43349179
,,FR,54068927
95800.0,CERGY LE HAUT,FR,72917481
95880.0,ENGHIENS LES BAINS,FR,31159775
,,SE,9258886
60300.0,AVILLY SAINT LEONARD,FR,95169505
92500.0,RUEIL MALMAISON,FR,84659188
64420.0,ARTIGUELOUTAN,FR,84390059
,,FR,97319175
,,FR,7859280
33440.0,AMBARES,FR,9386117
,,FR,89317072
38000.0,GRENOBLE,FR,80156111
,,FR,42997214
95230.0,SOISY SOUS MONTMORENCY,FR,38627623
95014.0,CERGY PONTOISE,FR,33637589
78500.0,SARTROUVILLE,FR,7260694
64000.0,PAU,FR,33642877
,,FR,75146905
93220.0,GAGNY,FR,77668955
95220.0,HERBLAY,FR,68136584
18000.0,BOURGES,FR,51279704
78700.0,CONFLANS STE HONORINE,FR,1822894
92150.0,SURESNES,FR,99268852
95000.0,CERGY,FR,21076334
78170.0,LA CELLE ST CLOUD,FR,23133390
91230.0,MONTGERON,FR,96202001
78630.0,orgeval,FR,98587671
94000.0,CRETEIL,FR,6583990
78780.0,MAURECOURT,FR,41199180
,,FR,33930668
75019.0,PARIS,FR,22474319
92300.0,LEVALLOIS PERRET,FR,1731363
78260.0,ACHERES,FR,92109025
94120.0,FONTENAY SOUS BOIS,FR,75810195
64000.0,PAU,FR,53246572
,DEN HAAG,NL,78847677
95220.0,HERBLAY,FR,87802285
78260.0,ACHERES,FR,55637852
95800.0,CERGY SAINT CHRISTOPHE,FR,77901023
92120.0,MONTROUGE,FR,9553273
64000.0,PAU,FR,3442949
,,FR,42255550
78570.0,CHANTELOUP LES VIGNES,FR,92835283
,,FR,71660293
92250.0,LA GARENNE COLOMBES,FR,45133775
78600.0,Maisons-Laffitte,FR,15159508
93250.0,VILLEMOMBLE,FR,71158541
95000.0,Cergy,FR,97270414
