ADR_CP	ADR_VILLE	ADR_PAYS	ID_ANO
64000	PAU	FR	42507633
64000	PAU	FR	54344402
44000	NANTES	FR	16939319
44470	TOUARE-SUR-LOIRE	FR	23044498
0	INCONNUE	FR	42532364
64000	PAU	FR	32627903
0	INCONNUE	FR	30560587
0	INCONNUE	FR	37445373
31780	CASTELGINEST	FR	87750073
92380	Garches	FR	36564577
38180	SEYSSINS	FR	38461934
95000	CERGY	FR	55466210
95800	CERGY LE HAUT	FR	95916603
95000	CERGY	FR	31532262
0	INCONNUE	FR	17051795
87000	LIMOGES	FR	4195180
95000	CERGY	FR	76015864
95150	TAVERNY	FR	79830103
31400	TOULOUSE	FR	80333696
64140	LONS	FR	14393066
0	INCONNUE	FR	97082410
91400	ORSAY	FR	52209274
78460	CHOISEL	FR	26697955
91250	ST GERMAIN-LES-CORBEIL	FR	78417027
64000	PAU	FR	22124254
0	INCONNUE	FR	8853328
36120	ARDENTES	FR	38183552
1100	OYONNAX	FR	59661571
95110	SANNOIS	FR	33034454
40510	SEIGNOSSE	FR	65599863
95140	GARGES LES GONESSE	FR	83844223
60100	Creil	FR	67723111
95500	GONESSE	FR	17273735
64000	PAU	FR	6268290
95340	PERSAN	FR	80733109
75015	PARIS	FR	60242461
38000	GRENOBLE	FR	61373340
0	INCONNUE	FR	93086872
93120	LA COURNEUVE	FR	22795658
64000	PAU	FR	5467422
0	INCONNUE	FR	2919623
44000	NANTES	FR	45624987
92400	COURBEVOIE	FR	14355521
33000	BORDEAUX	FR	39975570
93120	LA COURNEUVE	FR	45115031
95800	Cergy St Christophe	FR	73641084
92120	MONTROUGE	FR	2831798
93340	LE RAINCY	FR	72376603
78600	MAISON LAFITTE	FR	52187655
64000	PAU	FR	66056626
78700	CONFLANS STE HONORINE	FR	5246371
0	INCONNUE	FR	65501676
18700	AUBIGNY-SUR-NERE	FR	44619997
0	INCONNUE	FR	38064101
0	INCONNUE	FR	70568402
95000	CERGY	FR	64631886
95220	Herblay	FR	63197728
92400	COURBEVOIE	FR	55122870
0	INCONNUE	FR	82706067
91120	PALAISEAU	FR	75566817
44800	SAINT-HERBLAIN	FR	98227765
76130	MONT SAINT-AIGNAN	FR	14404810
95800	CERGY	FR	5168483
95800	CERGY LE HAUT	FR	5023808
95800	CERGY LE HAUT	FR	42832865
93700	DRANCY	FR	19195044
92400	COURBEVOIE	FR	15708671
0	INCONNUE	FR	57289943
94700	MAISON-ALFORT	FR	24619134
78230	LE PECQ	FR	39847452
0	Casabanca	MA	9662601
95000	CERGY	FR	78935486
95000	CERGY	FR	25455090
94200	IVRY SUR SEINE	FR	94689217
95300	PONTOISE	FR	54368635
64000	PAU	FR	42197441
0	Oran	DZ	25850358
0	INCONNUE	FR	29529751
27180	LES BAUX STE CROIX	FR	50793629
77400	ST THIBAULT DES VIGNES	FR	74311907
13008	MARSEILLE	FR	74909953
0	Fes	MA	43429922
6000	NICE	FR	25163247
57970	YUTZ	FR	77654450
0	Choix	FR	3663965
0	MEKNÉS	MA	54412625
95800	CERGY	FR	32354997
95200	SARCELLES	FR	80471462
95000	CERGY	FR	61391158
95000	CERGY	FR	63439177
95270	VIARMES	FR	35809278
78000	VERSAILLES	FR	59601105
95000	CERGY	FR	7491683
0	INCONNUE	FR	27964140
93230	ROMAINVILLE	FR	10491229
0	75015	FR	45752487
75012	PARIS	FR	64820029
95180	MENUCOURT	FR	30064192
0	CHOIX	FR	97265512
0	INCONNUE	FR	69734164
78450	VILLEPREUX	FR	13488535
0	SAFI	MA	12494398
65350	LANSAC	FR	51312089
