group,variable,value
PRG,PRG,1.0
PRG,ANNEE_SCOLAIRE,-0.14394286681574361
PRG,SITE,-0.02908039336133549
PRG,ADR_VILLE,-0.038598605942876466
PRG,ADR_PAYS,0.0010435497117192419
PRG,ENTREPRISE,-0.07219600999395123
PRG,VILLE,0.009984191872042872
PRG,PAYS,-0.09685542363585291
PRG,SUJET,-0.10220059326052405
PRG,REMUNERATION,-0.1980221447331966
ANNEE_SCOLAIRE,PRG,-0.14394286681574361
ANNEE_SCOLAIRE,ANNEE_SCOLAIRE,1.0
ANNEE_SCOLAIRE,SITE,0.0242885772213085
ANNEE_SCOLAIRE,ADR_VILLE,0.003965383767744434
ANNEE_SCOLAIRE,ADR_PAYS,0.045544429314763206
ANNEE_SCOLAIRE,ENTREPRISE,0.017041385696254612
ANNEE_SCOLAIRE,VILLE,0.011980268246415965
ANNEE_SCOLAIRE,PAYS,0.06200561219400101
ANNEE_SCOLAIRE,SUJET,0.06443519869246932
ANNEE_SCOLAIRE,REMUNERATION,-0.060468688650420196
SITE,PRG,-0.02908039336133549
SITE,ANNEE_SCOLAIRE,0.0242885772213085
SITE,SITE,1.0
SITE,ADR_VILLE,0.13233872221343715
SITE,ADR_PAYS,-0.007042598194287223
SITE,ENTREPRISE,0.052353343555935204
SITE,VILLE,0.05485473307219685
SITE,PAYS,-0.04017269645614614
SITE,SUJET,0.017525637385378597
SITE,REMUNERATION,0.0470575142652921
ADR_VILLE,PRG,-0.038598605942876466
ADR_VILLE,ANNEE_SCOLAIRE,0.003965383767744434
ADR_VILLE,SITE,0.13233872221343715
ADR_VILLE,ADR_VILLE,1.0
ADR_VILLE,ADR_PAYS,-0.018578503550766474
ADR_VILLE,ENTREPRISE,0.041656301042876716
ADR_VILLE,VILLE,0.04930056315176636
ADR_VILLE,PAYS,-0.006419965769773421
ADR_VILLE,SUJET,-0.004935877129757318
ADR_VILLE,REMUNERATION,0.039414047557854735
ADR_PAYS,PRG,0.0010435497117192419
ADR_PAYS,ANNEE_SCOLAIRE,0.045544429314763206
ADR_PAYS,SITE,-0.007042598194287223
ADR_PAYS,ADR_VILLE,-0.018578503550766474
ADR_PAYS,ADR_PAYS,1.0
ADR_PAYS,ENTREPRISE,-0.03304324215519616
ADR_PAYS,VILLE,0.005668848943559313
ADR_PAYS,PAYS,0.039659735324026814
ADR_PAYS,SUJET,0.017909383195278288
ADR_PAYS,REMUNERATION,-0.03427351971152026
ENTREPRISE,PRG,-0.07219600999395123
ENTREPRISE,ANNEE_SCOLAIRE,0.017041385696254612
ENTREPRISE,SITE,0.052353343555935204
ENTREPRISE,ADR_VILLE,0.041656301042876716
ENTREPRISE,ADR_PAYS,-0.03304324215519616
ENTREPRISE,ENTREPRISE,1.0
ENTREPRISE,VILLE,0.05067358786671983
ENTREPRISE,PAYS,0.018430832162572824
ENTREPRISE,SUJET,0.025322372711099633
ENTREPRISE,REMUNERATION,-0.0245714601930377
VILLE,PRG,0.009984191872042872
VILLE,ANNEE_SCOLAIRE,0.011980268246415965
VILLE,SITE,0.05485473307219685
VILLE,ADR_VILLE,0.04930056315176636
VILLE,ADR_PAYS,0.005668848943559313
VILLE,ENTREPRISE,0.05067358786671983
VILLE,VILLE,1.0
VILLE,PAYS,-0.007816341945642834
VILLE,SUJET,-0.011896288905846873
VILLE,REMUNERATION,-0.023063431648364573
PAYS,PRG,-0.09685542363585291
PAYS,ANNEE_SCOLAIRE,0.06200561219400101
PAYS,SITE,-0.04017269645614614
PAYS,ADR_VILLE,-0.006419965769773421
PAYS,ADR_PAYS,0.039659735324026814
PAYS,ENTREPRISE,0.018430832162572824
PAYS,VILLE,-0.007816341945642834
PAYS,PAYS,1.0
PAYS,SUJET,0.02020856329976938
PAYS,REMUNERATION,-0.1299617603770693
SUJET,PRG,-0.10220059326052405
SUJET,ANNEE_SCOLAIRE,0.06443519869246932
SUJET,SITE,0.017525637385378597
SUJET,ADR_VILLE,-0.004935877129757318
SUJET,ADR_PAYS,0.017909383195278288
SUJET,ENTREPRISE,0.025322372711099633
SUJET,VILLE,-0.011896288905846873
SUJET,PAYS,0.02020856329976938
SUJET,SUJET,1.0
SUJET,REMUNERATION,0.012688604225459638
REMUNERATION,PRG,-0.1980221447331966
REMUNERATION,ANNEE_SCOLAIRE,-0.060468688650420196
REMUNERATION,SITE,0.0470575142652921
REMUNERATION,ADR_VILLE,0.039414047557854735
REMUNERATION,ADR_PAYS,-0.03427351971152026
REMUNERATION,ENTREPRISE,-0.0245714601930377
REMUNERATION,VILLE,-0.023063431648364573
REMUNERATION,PAYS,-0.1299617603770693
REMUNERATION,SUJET,0.012688604225459638
REMUNERATION,REMUNERATION,1.0
