ID_ANO	PRG	ANNEE_SCOLAIRE	SITE
70031777	ING3	2015/2016	Cergy
70031777	BI	2015/2016	Cergy
70031777	SIE	2014/2015	Cergy
70031777	ING2	2014/2015	Cergy
70031777	GI	2014/2015	Cergy
42019364	ING3	2015/2016	Cergy
42019364	BI	2015/2016	Cergy
42019364	SIE	2014/2015	Cergy
42019364	PMI	2014/2015	Cergy
42019364	ING2	2014/2015	Cergy
40923749	PMI	2014/2015	Cergy
17073513	PMI	2014/2015	Cergy
7217655	PMI	2014/2015	Cergy
11218533	PMI	2014/2015	Cergy
15936874	PMI	2014/2015	Cergy
80223621	ING3	2015/2016	Cergy
80223621	BI	2015/2016	Cergy
80223621	SIE	2014/2015	Cergy
80223621	PMI	2014/2015	Cergy
80223621	ING2	2014/2015	Cergy
66151286	QFRM1	2014/2015	Cergy
21545184	QFRM1	2014/2015	Cergy
62308012	PRG-FLE	2015/2016	Cergy
62308012	QFRM2	2015/2016	Cergy
62308012	QFRM1	2014/2015	Cergy
79484207	ADEO2	2014/2015	Cergy
28711495	INDE	2014/2015	Cergy
28711495	BI	2014/2015	Cergy
12648580	INDE	2014/2015	Cergy
12648580	BI	2014/2015	Cergy
26291863	INDE	2014/2015	Cergy
26291863	BI	2014/2015	Cergy
43836225	INDE	2014/2015	Cergy
43836225	BI	2014/2015	Cergy
50342140	INDE	2014/2015	Cergy
50342140	BI	2014/2015	Cergy
20062905	INDE	2014/2015	Cergy
20062905	BI	2014/2015	Cergy
50860305	INDE	2014/2015	Cergy
50860305	BI	2014/2015	Cergy
12977422	INDE	2014/2015	Cergy
12977422	BI	2014/2015	Cergy
84876924	CPI1-PAU	2014/2015	Pau
84876924	CPI1	2014/2015	Pau
9303303	CPI1-PAU	2014/2015	Pau
9303303	CPI1	2014/2015	Pau
77983927	INDE	2012/2013	Cergy
77983927	BI	2012/2013	Cergy
5106200	CPI2	2014/2015	Cergy
5106200	CPI2	2013/2014	Cergy
5106200	CPI1	2012/2013	Cergy
23964316	M104F	2014/2015	Cergy
23964316	ING3	2014/2015	Cergy
23964316	IFI	2014/2015	Cergy
23964316	IO-DECISION	2013/2014	Cergy
23964316	MI	2013/2014	Cergy
23964316	ING2	2013/2014	Cergy
23964316	MAIN	2012/2013	Cergy
23964316	ING1	2012/2013	Cergy
74320387	ING4	2015/2016	Cergy
74320387	BI	2014/2015	Cergy
74320387	ING3	2014/2015	Cergy
74320387	SIE	2013/2014	Cergy
74320387	GI	2013/2014	Cergy
74320387	ING2	2013/2014	Cergy
74320387	MAIN	2012/2013	Cergy
74320387	ING1	2012/2013	Cergy
59822690	ING4	2015/2016	Cergy
59822690	ISF	2014/2015	Cergy
59822690	ING3	2014/2015	Cergy
59822690	IFI	2014/2015	Cergy
59822690	MMD-MA	2013/2014	Cergy
59822690	MF	2013/2014	Cergy
59822690	ING2	2013/2014	Cergy
59822690	MAAP	2012/2013	Cergy
59822690	ING1	2012/2013	Cergy
68931016	ING4	2015/2016	Cergy
68931016	ISI (DS)	2014/2015	Cergy
68931016	ING3	2014/2015	Cergy
68931016	DS	2014/2015	Cergy
68931016	MI	2013/2014	Cergy
68931016	ING2	2013/2014	Cergy
68931016	MAAP	2012/2013	Cergy
68931016	ING1	2012/2013	Cergy
16412332	ING4	2015/2016	Cergy
16412332	BI	2014/2015	Cergy
16412332	ING3	2014/2015	Cergy
16412332	SIE	2013/2014	Cergy
16412332	GI	2013/2014	Cergy
16412332	ING2	2013/2014	Cergy
16412332	MAIN	2012/2013	Cergy
16412332	ING1	2012/2013	Cergy
37300960	ING4	2015/2016	Cergy
37300960	ACTUARIAT	2014/2015	Cergy
37300960	ING3	2014/2015	Cergy
37300960	IFI	2014/2015	Cergy
37300960	MF	2013/2014	Cergy
37300960	ING2	2013/2014	Cergy
37300960	MAAP	2012/2013	Cergy
37300960	ING1	2012/2013	Cergy
41692390	ING4	2015/2016	Cergy
41692390	ISF	2014/2015	Cergy
41692390	ING3	2014/2015	Cergy
41692390	IFI	2014/2015	Cergy
41692390	MF	2013/2014	Cergy
41692390	ING2	2013/2014	Cergy
41692390	MAAP	2012/2013	Cergy
41692390	ING1	2012/2013	Cergy
76015864	ING4	2015/2016	Cergy
76015864	ISI (DS)	2014/2015	Cergy
76015864	ING3	2014/2015	Cergy
76015864	DS	2014/2015	Cergy
76015864	MI	2013/2014	Cergy
76015864	ING2	2013/2014	Cergy
76015864	MAIN	2012/2013	Cergy
76015864	ING1	2012/2013	Cergy
25455090	ING4	2015/2016	Cergy
25455090	BI	2014/2015	Cergy
25455090	ING3	2014/2015	Cergy
25455090	SIE	2013/2014	Cergy
25455090	GI	2013/2014	Cergy
25455090	ING2	2013/2014	Cergy
25455090	MAIN	2012/2013	Cergy
25455090	ING1	2012/2013	Cergy
19872513	M104F	2014/2015	Cergy
19872513	ING3	2014/2015	Cergy
19872513	IFI	2014/2015	Cergy
19872513	MMD-MA	2013/2014	Cergy
19872513	MF	2013/2014	Cergy
19872513	ING2	2013/2014	Cergy
19872513	MAAP	2012/2013	Cergy
19872513	ING1	2012/2013	Cergy
25492220	ING3	2015/2016	Cergy
25492220	BI	2015/2016	Cergy
25492220	SIE	2014/2015	Cergy
25492220	ING2	2014/2015	Cergy
25492220	GI	2014/2015	Cergy
25492220	MAIN	2013/2014	Cergy
25492220	ING1	2013/2014	Cergy
91834797	SIE	2014/2015	Cergy
91834797	ING2	2014/2015	Cergy
91834797	GI	2014/2015	Cergy
91834797	ING1	2013/2014	Cergy
7751296	ING4	2015/2016	Cergy
7751296	BI	2014/2015	Cergy
7751296	ING3	2014/2015	Cergy
7751296	SIE	2013/2014	Cergy
7751296	GI	2013/2014	Cergy
7751296	ING2	2013/2014	Cergy
7751296	MAIN	2012/2013	Cergy
7751296	ING1	2012/2013	Cergy
1822894	ING4	2015/2016	Cergy
1822894	EPI	2014/2015	Cergy
1822894	ING3	2014/2015	Cergy
1822894	ICOM	2014/2015	Cergy
1822894	SIE	2013/2014	Cergy
1822894	GI	2013/2014	Cergy
1822894	ING2	2013/2014	Cergy
1822894	MAIN	2012/2013	Cergy
1822894	ING1	2012/2013	Cergy
36368685	ING4	2015/2016	Cergy
36368685	MASEF	2014/2015	Cergy
36368685	ING3	2014/2015	Cergy
36368685	IFI	2014/2015	Cergy
36368685	MF	2013/2014	Cergy
36368685	ING2	2013/2014	Cergy
36368685	MAAP	2012/2013	Cergy
36368685	ING1	2012/2013	Cergy
20790866	ING4	2015/2016	Cergy
20790866	ING3	2014/2015	Cergy
20790866	ICOM	2014/2015	Cergy
20790866	SIE	2013/2014	Cergy
20790866	GI	2013/2014	Cergy
20790866	ING2	2013/2014	Cergy
20790866	MAIN	2012/2013	Cergy
20790866	ING1	2012/2013	Cergy
69573216	ING4	2015/2016	Cergy
69573216	ISF	2014/2015	Cergy
69573216	ING3	2014/2015	Cergy
69573216	IFI	2014/2015	Cergy
69573216	MF	2013/2014	Cergy
69573216	ING2	2013/2014	Cergy
69573216	MAAP	2012/2013	Cergy
69573216	ING1	2012/2013	Cergy
23862847	ING4	2015/2016	Cergy
23862847	M104F	2014/2015	Cergy
23862847	ING3	2014/2015	Cergy
23862847	IFI	2014/2015	Cergy
23862847	MF	2013/2014	Cergy
23862847	ING2	2013/2014	Cergy
23862847	MAAP	2012/2013	Cergy
23862847	ING1	2012/2013	Cergy
788198	ING4	2015/2016	Cergy
788198	UCPMF2	2014/2015	Cergy
788198	ING3	2014/2015	Cergy
788198	IFI	2014/2015	Cergy
788198	MF	2013/2014	Cergy
788198	ING2	2013/2014	Cergy
788198	MAAP	2012/2013	Cergy
788198	ING1	2012/2013	Cergy
1633500	ISI (DS)	2014/2015	Cergy
1633500	ING3	2014/2015	Cergy
1633500	DS	2014/2015	Cergy
1633500	MI	2013/2014	Cergy
1633500	ING2	2013/2014	Cergy
1633500	MAIN	2012/2013	Cergy
1633500	ING1	2012/2013	Cergy
24055522	ING4	2015/2016	Cergy
24055522	ING3	2014/2015	Cergy
24055522	VISUAL	2014/2015	Cergy
24055522	MI	2013/2014	Cergy
24055522	ING2	2013/2014	Cergy
24055522	MAIN	2012/2013	Cergy
24055522	ING1	2012/2013	Cergy
10693634	ING4	2015/2016	Cergy
10693634	BI	2014/2015	Cergy
10693634	ING3	2014/2015	Cergy
10693634	SIE	2013/2014	Cergy
10693634	GI	2013/2014	Cergy
10693634	ING2	2013/2014	Cergy
10693634	MAIN	2012/2013	Cergy
10693634	ING1	2012/2013	Cergy
94971508	ING4	2015/2016	Cergy
94971508	ING3	2014/2015	Cergy
94971508	ICOM	2014/2015	Cergy
94971508	SIE	2013/2014	Cergy
94971508	GI	2013/2014	Cergy
94971508	ING2	2013/2014	Cergy
94971508	MAIN	2012/2013	Cergy
94971508	ING1	2012/2013	Cergy
7117486	ING4	2015/2016	Cergy
7117486	ING3	2014/2015	Cergy
7117486	INEM	2014/2015	Cergy
7117486	GSI	2013/2014	Cergy
7117486	GI	2013/2014	Cergy
7117486	ING2	2013/2014	Cergy
7117486	MAIN	2012/2013	Cergy
7117486	ING1	2012/2013	Cergy
22074337	ING4	2015/2016	Cergy
22074337	MobM2	2014/2015	Cergy
22074337	ING3	2014/2015	Cergy
22074337	DS	2014/2015	Cergy
22074337	MI	2013/2014	Cergy
22074337	ING2	2013/2014	Cergy
22074337	MAIN	2012/2013	Cergy
22074337	ING1	2012/2013	Cergy
71483114	ING4	2015/2016	Cergy
71483114	BI	2014/2015	Cergy
71483114	ING3	2014/2015	Cergy
71483114	SIE	2013/2014	Cergy
71483114	GI	2013/2014	Cergy
71483114	ING2	2013/2014	Cergy
71483114	MAIN	2012/2013	Cergy
71483114	ING1	2012/2013	Cergy
55573814	BI	2016/2017	Cergy
55573814	ING3	2016/2017	Cergy
55573814	ING3	2015/2016	Cergy
55573814	BI	2015/2016	Cergy
55573814	SIE	2014/2015	Cergy
55573814	ING2	2014/2015	Cergy
55573814	GI	2014/2015	Cergy
55573814	MF	2013/2014	Cergy
55573814	ING2	2013/2014	Cergy
55573814	MAAP	2012/2013	Cergy
55573814	ING1	2012/2013	Cergy
33361449	ING4	2015/2016	Cergy
33361449	ING3	2014/2015	Cergy
33361449	ICOM	2014/2015	Cergy
33361449	SIE	2013/2014	Cergy
33361449	GI	2013/2014	Cergy
33361449	ING2	2013/2014	Cergy
33361449	MAIN	2012/2013	Cergy
33361449	ING1	2012/2013	Cergy
41399386	ING4	2015/2016	Cergy
41399386	BI	2014/2015	Cergy
41399386	ING3	2014/2015	Cergy
41399386	SIE	2013/2014	Cergy
41399386	GI	2013/2014	Cergy
41399386	ING2	2013/2014	Cergy
41399386	MAIN	2012/2013	Cergy
41399386	ING1	2012/2013	Cergy
35686985	ING4	2015/2016	Cergy
35686985	ING3	2014/2015	Cergy
35686985	INEM	2014/2015	Cergy
35686985	GSI	2013/2014	Cergy
35686985	GI	2013/2014	Cergy
35686985	ING2	2013/2014	Cergy
35686985	MAIN	2012/2013	Cergy
35686985	ING1	2012/2013	Cergy
1766326	ING4	2015/2016	Pau
1766326	ING3	2014/2015	Pau
1766326	ICC	2014/2015	Pau
1766326	GSI	2013/2014	Pau
1766326	GI	2013/2014	Pau
1766326	ING2	2013/2014	Pau
1766326	MAIN	2012/2013	Pau
1766326	ING1	2012/2013	Pau
39304999	ING4	2015/2016	Cergy
39304999	ISF	2014/2015	Cergy
39304999	ING3	2014/2015	Cergy
39304999	IFI	2014/2015	Cergy
39304999	MMD-MA	2013/2014	Cergy
39304999	MF	2013/2014	Cergy
39304999	ING2	2013/2014	Cergy
39304999	MAAP	2012/2013	Cergy
39304999	ING1	2012/2013	Cergy
14057569	ING4	2015/2016	Cergy
14057569	UCPMF2	2014/2015	Cergy
14057569	ING3	2014/2015	Cergy
14057569	IFI	2014/2015	Cergy
14057569	MF	2013/2014	Cergy
14057569	ING2	2013/2014	Cergy
14057569	MAAP	2012/2013	Cergy
14057569	ING1	2012/2013	Cergy
19410724	ING4	2015/2016	Cergy
19410724	ISF	2014/2015	Cergy
19410724	ING3	2014/2015	Cergy
19410724	IFI	2014/2015	Cergy
19410724	MF	2013/2014	Cergy
19410724	ING2	2013/2014	Cergy
19410724	MAAP	2012/2013	Cergy
19410724	ING1	2012/2013	Cergy
8950676	ING4	2015/2016	Cergy
8950676	ISF	2014/2015	Cergy
8950676	ING3	2014/2015	Cergy
8950676	IFI	2014/2015	Cergy
8950676	MF	2013/2014	Cergy
8950676	ING2	2013/2014	Cergy
8950676	MAAP	2012/2013	Cergy
8950676	ING1	2012/2013	Cergy
79519128	ING4	2015/2016	Cergy
79519128	ING3	2014/2015	Cergy
79519128	VISUAL	2014/2015	Cergy
79519128	MI	2013/2014	Cergy
79519128	ING2	2013/2014	Cergy
79519128	MAIN	2012/2013	Cergy
79519128	ING1	2012/2013	Cergy
86001209	ING4	2015/2016	Cergy
86001209	BI	2014/2015	Cergy
86001209	ING3	2014/2015	Cergy
86001209	SIE	2013/2014	Cergy
86001209	GI	2013/2014	Cergy
86001209	ING2	2013/2014	Cergy
86001209	MAIN	2012/2013	Cergy
86001209	ING1	2012/2013	Cergy
43856860	ING4	2015/2016	Cergy
43856860	ING3	2014/2015	Cergy
43856860	VISUAL	2014/2015	Cergy
43856860	MI	2013/2014	Cergy
43856860	ING2	2013/2014	Cergy
43856860	MAIN	2012/2013	Cergy
43856860	ING1	2012/2013	Cergy
37673908	ING4	2015/2016	Pau
37673908	ING3	2014/2015	Pau
37673908	IERP	2014/2015	Pau
37673908	SIE	2013/2014	Pau
37673908	GI	2013/2014	Pau
37673908	ING2	2013/2014	Pau
37673908	MAIN	2012/2013	Pau
37673908	ING1	2012/2013	Pau
21680249	ING4	2015/2016	Cergy
21680249	BI	2014/2015	Cergy
21680249	ING3	2014/2015	Cergy
21680249	SIE	2013/2014	Cergy
21680249	GI	2013/2014	Cergy
21680249	ING2	2013/2014	Cergy
21680249	MAIN	2012/2013	Cergy
21680249	ING1	2012/2013	Cergy
51456197	HConv2	2014/2015	Cergy
51456197	ING3	2014/2015	Cergy
51456197	DS	2014/2015	Cergy
51456197	IO-DECISION	2013/2014	Cergy
51456197	MF	2013/2014	Cergy
51456197	ING2	2013/2014	Cergy
51456197	MAAP	2012/2013	Cergy
51456197	ING1	2012/2013	Cergy
21026825	ING4	2015/2016	Cergy
21026825	ING3	2014/2015	Cergy
21026825	DS	2014/2015	Cergy
21026825	GSI	2013/2014	Cergy
21026825	GI	2013/2014	Cergy
21026825	ING2	2013/2014	Cergy
21026825	MAIN	2012/2013	Cergy
21026825	ING1	2012/2013	Cergy
14828829	ING4	2015/2016	Cergy
14828829	ING3	2014/2015	Cergy
14828829	ICOM	2014/2015	Cergy
14828829	SIE	2013/2014	Cergy
14828829	GI	2013/2014	Cergy
14828829	ING2	2013/2014	Cergy
14828829	MAAP	2012/2013	Cergy
14828829	ING1	2012/2013	Cergy
91949972	ING4	2015/2016	Cergy
91949972	ING3	2014/2015	Cergy
91949972	VISUAL	2014/2015	Cergy
91949972	MI	2013/2014	Cergy
91949972	ING2	2013/2014	Cergy
91949972	MAIN	2012/2013	Cergy
91949972	ING1	2012/2013	Cergy
47239517	ING3	2015/2016	Cergy
47239517	BI	2015/2016	Cergy
47239517	SIE	2014/2015	Cergy
47239517	ING2	2014/2015	Cergy
47239517	GI	2014/2015	Cergy
47239517	ING1	2013/2014	Cergy
3973491	ING4	2015/2016	Cergy
3973491	IISC	2014/2015	Cergy
3973491	ING3	2014/2015	Cergy
3973491	INEM	2014/2015	Cergy
3973491	GSI	2013/2014	Cergy
3973491	GI	2013/2014	Cergy
3973491	ING2	2013/2014	Cergy
3973491	MAIN	2012/2013	Cergy
3973491	ING1	2012/2013	Cergy
76305388	ING4	2015/2016	Cergy
76305388	ING3	2014/2015	Cergy
76305388	DS	2014/2015	Cergy
