CODE_POSTAL,VILLE,PAYS,LAT,LON
, RK PURAM  NEW DELHI,INDE,28.5660075,77.1767435
,AACHEN,ALLEMAGNE,50.7753455,6.0838868
,ABIDJAN,COTE D'IVOIRE,5.3599517,-4.0082563
64360,ABOS,FRANCE,43.3583,-0.5634
78260,ACHÈRES,FRANCE,48.960796,2.0700219
78260,ACHERES,FRANCE,48.960796,2.0700219
40801,AIRE SUR L'ADOUR,FRANCE,43.700062,-0.262294
13100,AIX EN PROVENCE,FRANCE,43.529742,5.447427
13290,AIX EN PROVENCE,FRANCE,43.529742,5.447427
13791,AIX EN PROVENCE CEDEX 3,FRANCE,43.4850622,5.3804073
13856,AIX-EN PROVENCE CEDEX 3,FRANCE,43.4872511,5.3581211
13090,AIX-EN-PROVENCE,FRANCE,43.529742,5.447427
13594,AIX-EN-PROVENCE CEDEX 03,FRANCE,43.4860038,5.3813494
20000,AJACCIO,FRANCE,41.919229,8.738635
20167,ALATA,FRANCE,41.975932,8.742111
30100,ALES,FRANCE,44.127204,4.083352
,ALMATY,KAZAKHSTAN,43.2220146,76.8512485
33440,AMBARES,FRANCE,44.926494,-0.490401
60110,AMBLAINVILLE,FRANCE,49.205551,2.119694
80000,AMIENS,FRANCE,49.894067,2.295753
80080,AMIENS,FRANCE,49.894067,2.295753
44150,ANCENIS,FRANCE,47.365464,-1.177491
3120,ANDELAROCHE,FRANCE,46.256475,3.748098
60570,ANDEVILLE,FRANCE,49.258215,2.168255
95580,ANDILLY,FRANCE,49.008628,2.303938
67140,ANDLAU,FRANCE,48.386157,7.417463
78570,ANDRÉSY,FRANCE,48.979048,2.051033
64600,ANGLET,FRANCE,43.481402,-1.514699
17690,ANGOULINS,FRANCE,46.1038659,-1.110261
74940,ANNECY LE VIEUX,FRANCE,45.9192139,6.1419499
,ANTANANARIVO,MADAGASCAR,-18.8791902,47.5079055
,ANTANANARIVO 101,MADAGASCAR,-18.8791902,47.5079055
92160,ANTONY,FRANCE,48.759255,2.302553
,APRILIA,ITALY,41.5944018,12.6560314
33120,ARCACHON,FRANCE,44.652297,-1.1785016
94110,ARCUEIL,FRANCE,48.80486,2.334955
36120,ARDENTES,FRANCE,46.742023,1.830933
95100,ARGENTEUIL,FRANCE,48.9472096,2.2466847
,ARIANA,TUNISIE,36.865726,10.163471
13646,ARLES CEDEX,FRANCE,43.676647,4.6277769
95400,ARNOUVILLE,FRANCE,48.980312,2.423662
95810,ARRONVILLE,FRANCE,49.182249,2.114574
64420,ARTIGUELOUTAN,FRANCE,43.271558,-0.244483
33370,ARTIGUES PRÈS BORDEAUX,FRANCE,44.8635218,-0.4927134
33370,ARTIGUES PRES BORDEAUX,FRANCE,44.8635218,-0.4927134
64260,ARUDY,FRANCE,43.105543,-0.428476
92600,ASNIÈRES SUR SEINE,FRANCE,48.914155,2.285369
92600,ASNIERES SUR SEINE,FRANCE,48.914155,2.285369
,ASTRAKHAN,RUSSIE,46.3588045,48.0599345
78410,AUBERGENVILLE,FRANCE,48.9591319,1.855891
93300,AUBERVILLIERS,FRANCE,48.912259,2.384049
93303,AUBERVILLIERS CEDEX,FRANCE,48.912259,2.384049
64170,AUDÉJOS,FRANCE,43.432144,-0.608936
95430,AUVERS SUR OISE,FRANCE,49.070852,2.17081
31320,AUZEVILLE-TOLOSANE,FRANCE,43.529195,1.483651
31650,AUZIELLE,FRANCE,43.541834,1.56617
95450,AVERNES,FRANCE,49.087046,1.871917
84000,AVIGNON,FRANCE,43.949317,4.805528
84911,AVIGNON CEDEX 09,FRANCE,43.949317,4.805528
60300,AVILLY SAINT LEONARD,FRANCE,49.193741,2.536738
33640,AYGUEMORTE LES GRAVES,FRANCE,44.710066,-0.479515
28410,BÛ,FRANCE,48.800542,1.501719
80480,BACOUËL/SELLE,FRANCE,49.831492,2.223248
,BAD HOMBURG,ALLEMAGNE,50.2268308,8.6181618
92220,BAGNEUX,FRANCE,48.796696,2.31002
34670,BAILLARGUES,FRANCE,43.660593,4.013409
95560,BAILLET-EN-FRANCE,FRANCE,49.058833,2.303016
60190,BAILLEUL LE SOC,FRANCE,49.416587,2.579158
31130,BALMA,FRANCE,43.606098,1.500032
,BAMAKO,MALI,12.6392316,-8.0028892
,BANGKOK,THAILANDE,13.7563309,100.5017651
95420,BANTHELU,FRANCE,49.127131,1.815097
5200,BARATIER,FRANCE,44.5387879,6.495439
77630,BARBIZON,FRANCE,48.447193,2.603497
,BARCELONA,ESPANA,41.3850639,2.1734035
97100,BASSE-TERRE,FRANCE,16.0144526,-61.7064109
54980,BATILLY,FRANCE,49.17102,5.969358
64800,BAUDREIX,FRANCE,43.20577,-0.2589659
25550,BAVANS,FRANCE,47.481865,6.729976
64100,BAYONNE,FRANCE,43.492949,-1.474841
78580,BAZEMONT,FRANCE,48.927866,1.86644
95250,BEAUCHAMP,FRANCE,49.015695,2.192255
95250,BEAUCHAMPS,FRANCE,50.017005,1.509317
72110,BEAUFAY,FRANCE,48.146652,0.363191
95260,BEAUMONT SUR OISE,FRANCE,49.141551,2.284601
60000,BEAUVAIS,FRANCE,49.4295387,2.0807123
33130,BEGLES,FRANCE,44.812023,-0.543784
,BEIJING,CHINA,39.9041999,116.4073963
90000,BELFORT,FRANCE,47.639559,6.862434
,BERLIN,ALLEMAGNE,52.5200066,13.404954
64160,BERNADETS,FRANCE,43.374906,-0.280987
,BERTRANGE,LUXEMBOURG,49.6082663,6.0510573
25000,BESANCON,FRANCE,47.237829,6.0240539
25084,BESANCON CEDEX 9,FRANCE,47.2647718,6.0503095
95550,BESSANCOURT,FRANCE,49.038027,2.216363
95870,BEZONS,FRANCE,48.925687,2.215847
95873,BEZONS,FRANCE,48.925687,2.215847
95877,BEZONS CEDEX,FRANCE,48.925687,2.215847
64520,BIDACHE,FRANCE,43.483403,-1.141554
64210,BIDART,FRANCE,43.439236,-1.590062
64140,BILLÈRE,FRANCE,43.302207,-0.39742
64140,BILLERE,FRANCE,43.302207,-0.39742
64300,BIRON,FRANCE,44.631318,0.870889
64320,BIZANOS,FRANCE,43.288931,-0.355226
31700,BLAGNAC,FRANCE,43.635087,1.39703
31703,BLAGNAC,FRANCE,43.635087,1.39703
31702,BLAGNAC CEDEX,FRANCE,43.635087,1.39703
,BNE BRAK,ISRAEL,32.084932,34.835226
93000,BOBIGNY,FRANCE,48.908612,2.439712
64510,BOEIL-BEZING,FRANCE,43.221005,-0.265051
92270,BOIS COLOMBES,FRANCE,48.917402,2.269675
92273,BOIS COLOMBES CEDEX,FRANCE,48.917402,2.269675
92275,BOIS COLOMBES CEDEX,FRANCE,48.917402,2.269675
92270,BOIS-COLOMBES,FRANCE,48.917402,2.269675
92273,BOIS-COLOMBES,FRANCE,48.917402,2.269675
30140,BOISSET ET GAUJAC,FRANCE,44.0491322,4.0235718
94470,BOISSY ST LEGER,FRANCE,48.7544029,2.5060809
93140,BONDY,FRANCE,48.906308,2.478265
93149,BONDY,FRANCE,48.906008,2.481875
94385,BONNEUIL SUR MARNE CEDEX,FRANCE,48.774755,2.487765
33000,BORDEAUX,FRANCE,44.837789,-0.57918
33067,BORDEAUX,FRANCE,44.837789,-0.57918
33074,BORDEAUX,FRANCE,44.837789,-0.57918
33100,BORDEAUX,FRANCE,44.837789,-0.57918
33800,BORDEAUX,FRANCE,44.837789,-0.57918
33076,BORDEAUX CEDEX,FRANCE,44.837789,-0.57918
33080,BORDEAUX CEDEX,FRANCE,44.837789,-0.57918
64510,BORDES,FRANCE,43.234419,-0.281299
64511,BORDES,FRANCE,43.234419,-0.281299
64511,BORDES CEDEX,FRANCE,43.234419,-0.281299
13320,BOUC BEL AIR,FRANCE,43.451152,5.413875
95570,BOUFFEMONT,FRANCE,49.043675,2.307852
24750,BOULAZAC,FRANCE,45.180548,0.768949
31620,BOULOC,FRANCE,43.781493,1.405246
92100,BOULOGNE,FRANCE,50.725231,1.613334
92100,BOULOGNE BILLANCOURT,FRANCE,48.8396952,2.2399123
92650,BOULOGNE BILLANCOURT,FRANCE,48.8396952,2.2399123
92514,BOULOGNE BILLANCOURT CEDEX,FRANCE,48.8396952,2.2399123
92650,BOULOGNE BILLANCOURT CEDEX,FRANCE,48.8396952,2.2399123
92100,BOULOGNE-BILLANCOURT,FRANCE,48.8396952,2.2399123
92513,BOULOGNE-BILLANCOURT CEDEX,FRANCE,48.8396952,2.2399123
33710,BOURG,FRANCE,45.0391679,-0.55961
18000,BOURGES,FRANCE,47.081012,2.398782
92340,BOURG-LA-REINE,FRANCE,48.780454,2.316374
62134,BOYAVAL,FRANCE,50.4744219,2.303175
91229,BRÉTIGNY SUR ORGE,FRANCE,48.611486,2.30604
47310,BRAX,FRANCE,43.616995,1.239953
29200,BREST,FRANCE,48.390394,-4.486076
29238,BREST CEDEX 3,FRANCE,48.390076,-4.501529
89210,BRIENON,FRANCE,47.991832,3.617134
57535,BRONVAUX,FRANCE,49.1965379,6.086189
31150,BRUGUIERES,FRANCE,43.727028,1.411991
,BRUXELLES,BELGIQUE,50.8503396,4.3517103
94360,BRY SUR MARNE,FRANCE,48.834913,2.5236489
28410,BU,FRANCE,48.799737,1.50144
78530,BUC,FRANCE,48.771808,2.123618
,BUENO AIRES,ARGENTINA,-34.6036844,-58.3815591
91440,BURES SUR YVETTE,FRANCE,48.696893,2.163977
64160,BUROS,FRANCE,43.3517409,-0.308749
17100,BUSSAC-SUR-CHARENTE,FRANCE,45.789718,-0.635927
77600,BUSSY SAINT GEORGES,FRANCE,48.842205,2.69802
77600,BUSSY-SAINT-GEORGES,FRANCE,48.842205,2.69802
94230,CACHAN,FRANCE,48.791855,2.331433
14000,CAEN,FRANCE,49.182863,-0.370679
6800,CAGNES SUR MER,FRANCE,43.663739,7.14882
69270,CAILLOUX SUR FONTAINE,FRANCE,45.8523319,4.87201
40090,CAMPAGNE,FRANCE,43.96179,-0.544745
35260,CANCALE,FRANCE,48.67707,-1.852279
,CAPEELEN,LUXEMBOURG,49.646245,5.9907576
11000,CARCASSONNE,FRANCE,43.2132151,2.3517703
